Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Bi4O14Rh4,3,171.073,8.71659,62.0841,404.959,2.22898,0,0.320155,3.96E-05,22,3117.2,2.65083
Er2O8P2,1,184.982,6.07438,31.3241,545.91,2.01658,5.9473,0.298472,3.25E-05,12,3616.63,7.75023
Ge1O8Zr3,1,214.648,5.7573,32.5512,472.947,2.04786,3.8792,0.376214,3.11E-05,12,3336.71,4.33192
Ca8Cl12O2,4,43.4557,2.58258,66.0651,310.904,2.04314,5.2274,0.319894,8.47E-05,22,2712.22,0.931659
Au1O1Rb3,2,13.1368,4.38386,16.9922,143.902,2.12885,0.2744,0.241498,0.000212999,5,1609.28,0.700436
Mg4O12Si4,6,222.634,3.97073,37.3204,986.825,2.04722,5.4138,0.221479,2.75E-05,20,6883.13,12.9046
K1Nb1O3,7,163.052,4.47347,12.8422,576.892,2.1048,2.047,0.296983,3.39E-05,5,3837.58,12.7733
Au2Ga2O4,4,145.959,9.97958,23.457,332.88,2.32568,0.2012,0.339851,5.15E-05,8,2539.92,2.9255
O14Ti4Y4,3,182.568,4.76875,53.5216,657.042,1.98672,3.2858,0.267236,2.96E-05,22,5030.98,7.51764
La1Ni1O2,9,131.839,6.93722,11.2763,412.014,2.11225,0,0.298672,4.48E-05,4,3331.05,8.62143
Cs12O12Sb4,2,35.5356,4.59582,87.6459,182.911,2.20131,3.0799,0.341438,9.07E-05,28,1257.23,0.343002
O3Re1,2,225.006,7.08131,10.2703,567.933,2.16789,0,0.273905,2.47E-05,4,4564.98,21.7342
Ga4Ho4O12,6,180.77,8.41444,54.5211,472.899,2.06875,3.7695,0.296736,3.81E-05,20,3478.05,4.28497
Mn3Nb6O11,4,193.73,5.88515,52.9475,518.956,2.03629,0.4695,0.32303,3.00E-05,20,3825.73,4.85083
O8Sn4,6,161.45,6.98984,33.8171,421.858,2.32326,0.181,0.339683,4.65E-05,12,2390.81,3.02075
O14Pt4Tl4,3,174.635,11.0409,62.4493,400.865,2.39545,0.8794,0.287836,4.28E-05,22,3039.4,2.70535
Cd2O2,4,87.9671,6.28799,12.1468,229.956,2.18795,0,0.399725,6.12E-05,4,1942.64,1.66417
Cr1O2,3,205.253,5.16477,6.90551,753.31,2.49082,0,0.257841,4.18E-05,3,5489.95,19.0136
Cl4Na4O12,2,69.7209,2.36886,54.3642,530.019,2.15438,5.6206,0.273629,7.61E-05,20,2531.72,2.29745
